text,gold_label,llm_label,rule_label,ml_label,flag_reason
Streaming platform Action Hero added City Life new original series,entertainment,entertainment,tech,,Rule suggests 'tech' but LLM predicted 'entertainment'
Cybersecurity experts warn about new 5G connectivity vulnerability in Apple systems,tech,sports,tech,tech,Rule suggests 'tech' but LLM predicted 'sports'; ML suggests 'tech' but LLM predicted 'sports'
Congress passed the new Wilson bill with a Brown majority,politics,sports,politics,politics,Rule suggests 'politics' but LLM predicted 'sports'; ML suggests 'politics' but LLM predicted 'sports'
Actor 150 will star in the upcoming Williams film,entertainment,tech,entertainment,entertainment,Rule suggests 'entertainment' but LLM predicted 'tech'; ML suggests 'entertainment' but LLM predicted 'tech'
Fans cheered loudly as Madison Square Garden scored the winning goal,sports,entertainment,sports,sports,Rule suggests 'sports' but LLM predicted 'entertainment'; ML suggests 'sports' but LLM predicted 'entertainment'
Developers released version Amazon of the popular fingerprint scanner software,tech,entertainment,tech,tech,Rule suggests 'tech' but LLM predicted 'entertainment'; ML suggests 'tech' but LLM predicted 'entertainment'
Streaming platform Drama Queen added Comedy Central new original series,entertainment,entertainment,tech,,Rule suggests 'tech' but LLM predicted 'entertainment'
67 defeated basketball in a thrilling overtime victory,sports,entertainment,sports,sports,Rule suggests 'sports' but LLM predicted 'entertainment'; ML suggests 'sports' but LLM predicted 'entertainment'
Streaming platform Radio City added Mystery Night new original series,entertainment,politics,tech,entertainment,Rule suggests 'tech' but LLM predicted 'politics'; ML suggests 'entertainment' but LLM predicted 'politics'
Streaming platform Action Hero added 30 new original series,entertainment,entertainment,tech,,Rule suggests 'tech' but LLM predicted 'entertainment'
Streaming platform Comedy Central added Lollapalooza new original series,entertainment,entertainment,tech,,Rule suggests 'tech' but LLM predicted 'entertainment'
Streaming platform Hollywood Bowl added Davis new original series,entertainment,entertainment,tech,,Rule suggests 'tech' but LLM predicted 'entertainment'
Actor Mystery Hour will star in the upcoming Drama Queen film,entertainment,politics,entertainment,entertainment,Rule suggests 'entertainment' but LLM predicted 'politics'; ML suggests 'entertainment' but LLM predicted 'politics'
Musician Drama Queen released a new album featuring Brown songs,entertainment,sports,entertainment,entertainment,Rule suggests 'entertainment' but LLM predicted 'sports'; ML suggests 'entertainment' but LLM predicted 'sports'
Wembley defeated Yankee Stadium in a thrilling overtime victory,sports,politics,sports,sports,Rule suggests 'sports' but LLM predicted 'politics'; ML suggests 'sports' but LLM predicted 'politics'
Cloud computing services experienced predict outcomes percent growth this year,tech,entertainment,tech,tech,Rule suggests 'tech' but LLM predicted 'entertainment'; ML suggests 'tech' but LLM predicted 'entertainment'
Cloud computing services experienced fingerprint scanner percent growth this year,tech,politics,tech,tech,Rule suggests 'tech' but LLM predicted 'politics'; ML suggests 'tech' but LLM predicted 'politics'
Streaming platform Coachella added seven new original series,entertainment,entertainment,sports,,Rule suggests 'sports' but LLM predicted 'entertainment'
Fans cheered loudly as Heat scored the winning goal,sports,tech,sports,sports,Rule suggests 'sports' but LLM predicted 'tech'; ML suggests 'sports' but LLM predicted 'tech'
Musician Space Odyssey released a new album featuring Miller songs,entertainment,politics,entertainment,entertainment,Rule suggests 'entertainment' but LLM predicted 'politics'; ML suggests 'entertainment' but LLM predicted 'politics'
The Broadway musical Mystery Hour received 15 Tony nominations,entertainment,politics,entertainment,entertainment,Rule suggests 'entertainment' but LLM predicted 'politics'; ML suggests 'entertainment' but LLM predicted 'politics'
Congress passed the new education bill with a healthcare majority,politics,entertainment,politics,politics,Rule suggests 'politics' but LLM predicted 'entertainment'; ML suggests 'politics' but LLM predicted 'entertainment'
The movie Coachella grossed 15 million at the box office,entertainment,entertainment,sports,,Rule suggests 'sports' but LLM predicted 'entertainment'
Musician Lollapalooza released a new album featuring Family Matters songs,entertainment,politics,entertainment,entertainment,Rule suggests 'entertainment' but LLM predicted 'politics'; ML suggests 'entertainment' but LLM predicted 'politics'
Virtual reality headsets now support Tesla resolution displays,tech,entertainment,tech,tech,Rule suggests 'tech' but LLM predicted 'entertainment'; ML suggests 'tech' but LLM predicted 'entertainment'
Congress passed the new Climate bill with a climate change majority,politics,sports,politics,politics,Rule suggests 'politics' but LLM predicted 'sports'; ML suggests 'politics' but LLM predicted 'sports'
42 player Moore made an incredible save during the match,sports,politics,sports,sports,Rule suggests 'sports' but LLM predicted 'politics'; ML suggests 'sports' but LLM predicted 'politics'
Political analysts predict Brown will win the upcoming election,politics,entertainment,politics,politics,Rule suggests 'politics' but LLM predicted 'entertainment'; ML suggests 'politics' but LLM predicted 'entertainment'
The new gaming platform smartphone features translate languages and improved battery life,tech,sports,tech,tech,Rule suggests 'tech' but LLM predicted 'sports'; ML suggests 'tech' but LLM predicted 'sports'
Streaming platform Radio City added seven new original series,entertainment,entertainment,tech,,Rule suggests 'tech' but LLM predicted 'entertainment'
Streaming platform Wilson added ten new original series,entertainment,entertainment,tech,,Rule suggests 'tech' but LLM predicted 'entertainment'
Olympic swimmer Staples Center won gold in the Staples Center meter race,sports,tech,sports,sports,Rule suggests 'sports' but LLM predicted 'tech'; ML suggests 'sports' but LLM predicted 'tech'
The movie Hollywood Bowl grossed Coachella million at the box office,entertainment,entertainment,sports,,Rule suggests 'sports' but LLM predicted 'entertainment'
Director 15 announced plans for a Mystery Night sequel,entertainment,politics,entertainment,entertainment,Rule suggests 'entertainment' but LLM predicted 'politics'; ML suggests 'entertainment' but LLM predicted 'politics'
The football season starts next month with basketball teams competing,sports,entertainment,sports,sports,Rule suggests 'sports' but LLM predicted 'entertainment'; ML suggests 'sports' but LLM predicted 'entertainment'
Streaming platform Mystery Night added Coachella new original series,entertainment,entertainment,sports,,Rule suggests 'sports' but LLM predicted 'entertainment'
Senator foreign announced new legislation regarding social security policy,politics,entertainment,politics,politics,Rule suggests 'politics' but LLM predicted 'entertainment'; ML suggests 'politics' but LLM predicted 'entertainment'
The Supreme Court ruling on education will affect millions,politics,entertainment,politics,politics,Rule suggests 'politics' but LLM predicted 'entertainment'; ML suggests 'politics' but LLM predicted 'entertainment'
The president will address the nation about Healthcare tomorrow,politics,entertainment,politics,politics,Rule suggests 'politics' but LLM predicted 'entertainment'; ML suggests 'politics' but LLM predicted 'entertainment'
Senator Rodriguez announced new legislation regarding foreign policy,politics,entertainment,politics,politics,Rule suggests 'politics' but LLM predicted 'entertainment'; ML suggests 'politics' but LLM predicted 'entertainment'
Political analysts predict social security will win the upcoming election,politics,entertainment,politics,politics,Rule suggests 'politics' but LLM predicted 'entertainment'; ML suggests 'politics' but LLM predicted 'entertainment'
The team scored Knicks points in yesterday's game against football,sports,politics,sports,sports,Rule suggests 'sports' but LLM predicted 'politics'; ML suggests 'sports' but LLM predicted 'politics'
Political analysts predict Security will win the upcoming election,politics,tech,politics,politics,Rule suggests 'politics' but LLM predicted 'tech'; ML suggests 'politics' but LLM predicted 'tech'
Streaming platform Crime Detective added Garcia new original series,entertainment,tech,tech,entertainment,ML suggests 'entertainment' but LLM predicted 'tech'
The tech company's stock price rose Tesla percent after earnings,tech,sports,,tech,ML suggests 'tech' but LLM predicted 'sports'
The tech company's stock price rose face recognition percent after earnings,tech,sports,,tech,ML suggests 'tech' but LLM predicted 'sports'
The tech company's stock price rose predict outcomes percent after earnings,tech,sports,,tech,ML suggests 'tech' but LLM predicted 'sports'
The tech company's stock price rose recognize speech percent after earnings,tech,politics,,tech,ML suggests 'tech' but LLM predicted 'politics'
